RecordType,Category,Amount,EmployeeRole,Shift,ContractType,Campaign,Service,ProjectedExpense,ActualExpense,CustomerType,FoodSegment,VisitDateTime
Fixed Cost,Rent,792.02,,,,,,,,Tourist,Irish,7/14/2024
Variable Cost,Marketing Campaign,2544.07,,,,,,,,Seldom,Wine,9/16/2024
Variable Cost,Inventory Purchase,3078.7,,,,,,,,Seldom,Continental,8/17/2024
Fixed Cost,Rent,1700.51,,,,,,,,Tourist,Snacks,01-10-2025
Variable Cost,Marketing Campaign,4169.27,,,,,,,,First-timer,Wine,9/18/2024
Tech Fee,Tech Services,458.72,,,,,Website Hosting,,,Seldom,Irish,3/15/2024
Employee Salary,Payroll,4942.6,Server,Morning,Part-time,,,,,Seldom,Irish,8/24/2024
Marketing Spend,Advertising,5379.01,,,,Christmas Special,,,,Tourist,Continental,11/17/2024
Employee Salary,Payroll,2471.13,Chef,Night,Part-time,,,,,Tourist,Continental,10/16/2024
Marketing Spend,Advertising,4508.0,,,,Summer Happy Hour,,,,Regular,Wine,12/24/2024
Employee Salary,Payroll,1746.07,Chef,Morning,Contract,,,,,Tourist,Snacks,02-02-2025
Tech Fee,Tech Services,315.9,,,,,CRM Platform,,,Regular,Wine,12-01-2024
Employee Salary,Payroll,3048.37,Manager,Night,Part-time,,,,,Tourist,Continental,5/16/2024
Employee Salary,Payroll,3763.75,Manager,Night,Full-time,,,,,First-timer,Wine,9/13/2024
Variable Cost,Marketing Campaign,1461.46,,,,,,,,Regular,Snacks,12-06-2024
Marketing Spend,Advertising,971.62,,,,Spring Promo,,,,First-timer,Irish,8/30/2024
Projected vs Actual,Expense Monitoring,,,,,,,5718.38,5175.4800000000005,Tourist,Continental,1/14/2025
Variable Cost,Marketing Campaign,5596.49,,,,,,,,First-timer,Snacks,03-06-2025
Marketing Spend,Advertising,1844.6,,,,Spring Promo,,,,Seldom,Continental,09-09-2024
Projected vs Actual,Expense Monitoring,,,,,,,7229.12,8029.96,Seldom,Snacks,01-11-2025
Employee Salary,Payroll,3801.43,Chef,Morning,Contract,,,,,First-timer,Snacks,04-12-2024
Employee Salary,Payroll,3568.13,Manager,Evening,Full-time,,,,,Seldom,Snacks,9/30/2024
Employee Salary,Payroll,1036.79,Chef,Evening,Part-time,,,,,First-timer,Irish,7/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,7551.0,8498.33,First-timer,Irish,12/18/2024
Variable Cost,Marketing Campaign,3123.1,,,,,,,,Seldom,Continental,01-08-2025
Variable Cost,Marketing Campaign,4539.4,,,,,,,,First-timer,Snacks,02-02-2025
Tech Fee,Tech Services,129.17,,,,,CRM Platform,,,Regular,Continental,1/24/2025
Marketing Spend,Advertising,3558.48,,,,Spring Promo,,,,Regular,Irish,10-08-2024
Marketing Spend,Advertising,4617.5,,,,New Menu Launch,,,,Seldom,Wine,2/17/2025
Employee Salary,Payroll,2470.86,Chef,Morning,Contract,,,,,Tourist,Snacks,9/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,2329.92,3275.94,Regular,Irish,05-07-2024
Tech Fee,Tech Services,451.42,,,,,CRM Platform,,,Regular,Snacks,12-04-2024
Employee Salary,Payroll,3010.55,Bartender,Evening,Full-time,,,,,Regular,Snacks,2/17/2025
Marketing Spend,Advertising,3549.12,,,,Christmas Special,,,,First-timer,Snacks,7/22/2024
Tech Fee,Tech Services,375.1,,,,,Website Hosting,,,Tourist,Irish,04-02-2024
Employee Salary,Payroll,1174.42,Manager,Night,Full-time,,,,,Regular,Irish,7/24/2024
Marketing Spend,Advertising,3395.62,,,,New Menu Launch,,,,Tourist,Snacks,4/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,7361.48,7101.799999999999,Seldom,Snacks,5/22/2024
Fixed Cost,Rent,4677.43,,,,,,,,First-timer,Wine,11/13/2024
Fixed Cost,Utilities,4849.95,,,,,,,,First-timer,Continental,9/26/2024
Employee Salary,Payroll,2222.79,Manager,Morning,Contract,,,,,Seldom,Wine,09-03-2024
Fixed Cost,Insurance,1262.72,,,,,,,,First-timer,Snacks,12/20/2024
Fixed Cost,Utilities,4712.7,,,,,,,,First-timer,Continental,10-08-2024
Variable Cost,Inventory Purchase,5743.61,,,,,,,,Tourist,Continental,4/16/2024
Variable Cost,Marketing Campaign,6744.32,,,,,,,,First-timer,Wine,07-10-2024
Variable Cost,Inventory Purchase,5231.46,,,,,,,,Tourist,Continental,12-08-2024
Variable Cost,Marketing Campaign,7433.61,,,,,,,,Seldom,Irish,3/15/2024
Fixed Cost,Rent,3661.18,,,,,,,,Seldom,Irish,7/20/2024
Tech Fee,Tech Services,414.21,,,,,Website Hosting,,,Regular,Snacks,07-07-2024
Employee Salary,Payroll,1326.38,Server,Morning,Full-time,,,,,Tourist,Continental,09-03-2024
Fixed Cost,Rent,1374.23,,,,,,,,Tourist,Continental,8/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,6468.45,7248.46,Tourist,Continental,01-04-2025
Marketing Spend,Advertising,839.08,,,,Summer Happy Hour,,,,Seldom,Irish,03-08-2025
Projected vs Actual,Expense Monitoring,,,,,,,2961.15,2271.23,Regular,Snacks,7/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,2649.06,2830.73,Seldom,Wine,4/18/2024
Projected vs Actual,Expense Monitoring,,,,,,,2376.89,1454.56,Tourist,Continental,11/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,4528.12,4181.42,Tourist,Wine,1/31/2025
Tech Fee,Tech Services,147.12,,,,,Website Hosting,,,Seldom,Snacks,10-10-2024
Tech Fee,Tech Services,88.41,,,,,CRM Platform,,,Seldom,Irish,4/23/2024
Tech Fee,Tech Services,289.11,,,,,Website Hosting,,,First-timer,Irish,12/20/2024
Employee Salary,Payroll,3065.2,Manager,Morning,Part-time,,,,,First-timer,Snacks,3/31/2024
Projected vs Actual,Expense Monitoring,,,,,,,808.01,605.65,Regular,Snacks,11/16/2024
Employee Salary,Payroll,2003.44,Manager,Evening,Contract,,,,,Regular,Wine,9/26/2024
Variable Cost,Inventory Purchase,900.64,,,,,,,,Regular,Continental,5/14/2024
Fixed Cost,Rent,761.87,,,,,,,,Seldom,Continental,06-01-2024
Variable Cost,Inventory Purchase,4479.29,,,,,,,,First-timer,Continental,11/21/2024
Projected vs Actual,Expense Monitoring,,,,,,,1204.05,569.78,Regular,Irish,11-03-2024
Tech Fee,Tech Services,337.22,,,,,CRM Platform,,,Seldom,Snacks,10-10-2024
Tech Fee,Tech Services,345.7,,,,,CRM Platform,,,First-timer,Irish,6/28/2024
Tech Fee,Tech Services,378.52,,,,,Website Hosting,,,Seldom,Snacks,01-12-2025
Employee Salary,Payroll,4031.38,Manager,Evening,Contract,,,,,Regular,Irish,07-10-2024
Fixed Cost,Rent,1022.33,,,,,,,,First-timer,Snacks,3/28/2024
Tech Fee,Tech Services,68.33,,,,,CRM Platform,,,Tourist,Irish,6/25/2024
Projected vs Actual,Expense Monitoring,,,,,,,7846.33,7196.99,First-timer,Continental,3/23/2024
Variable Cost,Marketing Campaign,4967.0,,,,,,,,Tourist,Wine,03-12-2024
Marketing Spend,Advertising,3359.78,,,,Spring Promo,,,,Seldom,Snacks,7/15/2024
Tech Fee,Tech Services,71.63,,,,,CRM Platform,,,Tourist,Continental,3/27/2024
Projected vs Actual,Expense Monitoring,,,,,,,5263.2,4353.81,Regular,Irish,04-08-2024
Variable Cost,Marketing Campaign,9341.02,,,,,,,,First-timer,Continental,9/22/2024
Fixed Cost,Rent,3577.84,,,,,,,,First-timer,Irish,1/15/2025
Variable Cost,Inventory Purchase,8685.27,,,,,,,,First-timer,Continental,10-06-2024
Employee Salary,Payroll,3573.15,Manager,Evening,Contract,,,,,Regular,Wine,03-08-2025
Fixed Cost,Rent,2955.28,,,,,,,,Tourist,Snacks,3/14/2024
Tech Fee,Tech Services,223.75,,,,,Website Hosting,,,First-timer,Snacks,10/29/2024
Fixed Cost,Utilities,1430.08,,,,,,,,Seldom,Continental,1/31/2025
Tech Fee,Tech Services,146.57,,,,,CRM Platform,,,Tourist,Continental,05-10-2024
Projected vs Actual,Expense Monitoring,,,,,,,636.66,-174.45000000000005,First-timer,Wine,10/26/2024
Employee Salary,Payroll,4379.5,Chef,Evening,Full-time,,,,,First-timer,Wine,1/23/2025
Variable Cost,Marketing Campaign,8163.24,,,,,,,,Regular,Continental,4/27/2024
Fixed Cost,Insurance,1031.74,,,,,,,,First-timer,Wine,02-08-2025
Tech Fee,Tech Services,333.02,,,,,Website Hosting,,,First-timer,Irish,7/16/2024
Tech Fee,Tech Services,380.78,,,,,Website Hosting,,,First-timer,Continental,10-06-2024
Tech Fee,Tech Services,176.92,,,,,CRM Platform,,,Seldom,Snacks,6/23/2024
Variable Cost,Inventory Purchase,7531.09,,,,,,,,First-timer,Irish,04-04-2024
Employee Salary,Payroll,2000.07,Chef,Night,Part-time,,,,,Regular,Wine,4/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,4714.0,4191.1900000000005,Tourist,Snacks,12/23/2024
Tech Fee,Tech Services,389.54,,,,,CRM Platform,,,Regular,Continental,08-11-2024
Fixed Cost,Utilities,4561.49,,,,,,,,Tourist,Snacks,05-02-2024
Projected vs Actual,Expense Monitoring,,,,,,,4224.21,4003.45,Regular,Snacks,2/17/2025
Tech Fee,Tech Services,94.99,,,,,CRM Platform,,,First-timer,Snacks,3/14/2024
Marketing Spend,Advertising,6718.08,,,,New Menu Launch,,,,Seldom,Snacks,03-01-2025
Employee Salary,Payroll,4827.2,Manager,Morning,Contract,,,,,Tourist,Continental,09-03-2024
Marketing Spend,Advertising,3552.57,,,,Christmas Special,,,,First-timer,Snacks,1/17/2025
Tech Fee,Tech Services,181.94,,,,,CRM Platform,,,Tourist,Continental,9/23/2024
Fixed Cost,Insurance,1457.28,,,,,,,,Seldom,Wine,6/22/2024
Tech Fee,Tech Services,401.58,,,,,CRM Platform,,,First-timer,Snacks,4/30/2024
Tech Fee,Tech Services,272.49,,,,,CRM Platform,,,Seldom,Continental,5/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,4621.47,4504.530000000001,Seldom,Irish,02-07-2025
Tech Fee,Tech Services,367.62,,,,,CRM Platform,,,Seldom,Snacks,01-11-2025
Marketing Spend,Advertising,5378.27,,,,Spring Promo,,,,First-timer,Wine,04-02-2024
Marketing Spend,Advertising,887.63,,,,Spring Promo,,,,Regular,Irish,04-08-2024
Projected vs Actual,Expense Monitoring,,,,,,,5757.27,4902.8,First-timer,Wine,05-08-2024
Variable Cost,Inventory Purchase,7091.8,,,,,,,,Tourist,Snacks,12-12-2024
Tech Fee,Tech Services,88.18,,,,,CRM Platform,,,Tourist,Irish,9/27/2024
Employee Salary,Payroll,4251.2,Cleaner,Morning,Part-time,,,,,Tourist,Wine,12-03-2024
Fixed Cost,Rent,3890.2,,,,,,,,Regular,Wine,09-11-2024
Projected vs Actual,Expense Monitoring,,,,,,,5811.36,5774.69,First-timer,Snacks,4/21/2024
Marketing Spend,Advertising,4994.57,,,,Summer Happy Hour,,,,Regular,Wine,3/27/2024
Variable Cost,Marketing Campaign,3369.5,,,,,,,,Tourist,Wine,5/31/2024
Projected vs Actual,Expense Monitoring,,,,,,,4194.69,3217.4,Seldom,Snacks,11/15/2024
Marketing Spend,Advertising,582.86,,,,Summer Happy Hour,,,,Seldom,Wine,6/17/2024
Marketing Spend,Advertising,999.18,,,,New Menu Launch,,,,Seldom,Wine,10-07-2024
Fixed Cost,Insurance,3857.2,,,,,,,,Seldom,Continental,04-04-2024
Tech Fee,Tech Services,482.98,,,,,Website Hosting,,,Tourist,Wine,8/25/2024
Marketing Spend,Advertising,763.66,,,,Spring Promo,,,,First-timer,Irish,12/21/2024
Fixed Cost,Utilities,2463.51,,,,,,,,Regular,Wine,4/28/2024
Variable Cost,Marketing Campaign,9781.22,,,,,,,,Seldom,Irish,4/23/2024
Tech Fee,Tech Services,195.21,,,,,CRM Platform,,,Tourist,Continental,1/30/2025
Projected vs Actual,Expense Monitoring,,,,,,,7434.82,8273.05,Regular,Wine,4/15/2024
Marketing Spend,Advertising,4928.8,,,,Christmas Special,,,,Seldom,Snacks,07-07-2024
Fixed Cost,Utilities,1247.97,,,,,,,,Tourist,Wine,12/14/2024
Fixed Cost,Utilities,1825.22,,,,,,,,Tourist,Continental,5/16/2024
Fixed Cost,Rent,3636.16,,,,,,,,Tourist,Continental,12/16/2024
Employee Salary,Payroll,4801.65,Chef,Night,Part-time,,,,,First-timer,Irish,02-03-2025
Projected vs Actual,Expense Monitoring,,,,,,,3917.43,4157.7,Regular,Snacks,12-03-2024
Variable Cost,Marketing Campaign,6503.8,,,,,,,,Tourist,Wine,09-02-2024
Variable Cost,Marketing Campaign,5878.2,,,,,,,,Tourist,Irish,3/23/2024
Marketing Spend,Advertising,6825.88,,,,Spring Promo,,,,Tourist,Continental,11/23/2024
Employee Salary,Payroll,2644.83,Chef,Morning,Full-time,,,,,Regular,Snacks,12-12-2024
Tech Fee,Tech Services,171.93,,,,,Website Hosting,,,Regular,Wine,02-06-2025
Tech Fee,Tech Services,84.29,,,,,Website Hosting,,,Tourist,Wine,1/31/2025
Projected vs Actual,Expense Monitoring,,,,,,,7623.5,8074.94,Regular,Wine,02-01-2025
Fixed Cost,Utilities,872.37,,,,,,,,First-timer,Wine,07-02-2024
Projected vs Actual,Expense Monitoring,,,,,,,6995.48,6085.92,First-timer,Snacks,9/18/2024
Fixed Cost,Utilities,4147.49,,,,,,,,Tourist,Irish,08-03-2024
Fixed Cost,Insurance,3173.59,,,,,,,,First-timer,Continental,1/30/2025
Fixed Cost,Utilities,4231.24,,,,,,,,First-timer,Snacks,5/29/2024
Fixed Cost,Rent,785.8,,,,,,,,Regular,Continental,08-03-2024
Fixed Cost,Insurance,1102.33,,,,,,,,First-timer,Snacks,9/26/2024
Tech Fee,Tech Services,83.91,,,,,Website Hosting,,,Seldom,Wine,11/30/2024
Marketing Spend,Advertising,3833.55,,,,Spring Promo,,,,First-timer,Snacks,11/16/2024
Tech Fee,Tech Services,460.92,,,,,Website Hosting,,,First-timer,Snacks,10-12-2024
Tech Fee,Tech Services,475.14,,,,,CRM Platform,,,Regular,Wine,03-08-2025
Variable Cost,Inventory Purchase,2548.75,,,,,,,,Tourist,Irish,10/31/2024
Projected vs Actual,Expense Monitoring,,,,,,,2037.84,1540.7199999999998,Seldom,Wine,5/29/2024
Tech Fee,Tech Services,143.25,,,,,CRM Platform,,,Regular,Irish,09-05-2024
Fixed Cost,Rent,3906.5,,,,,,,,Regular,Snacks,2/15/2025
Variable Cost,Marketing Campaign,2759.86,,,,,,,,Regular,Irish,1/16/2025
Variable Cost,Marketing Campaign,5251.05,,,,,,,,Regular,Irish,04-08-2024
Projected vs Actual,Expense Monitoring,,,,,,,6735.29,6350.84,Seldom,Irish,05-05-2024
Fixed Cost,Utilities,4855.88,,,,,,,,Regular,Wine,02-06-2025
Projected vs Actual,Expense Monitoring,,,,,,,7074.9,6881.87,Tourist,Snacks,3/21/2024
Tech Fee,Tech Services,337.71,,,,,CRM Platform,,,Tourist,Irish,7/30/2024
Employee Salary,Payroll,3469.05,Bartender,Night,Part-time,,,,,First-timer,Snacks,7/14/2024
Variable Cost,Marketing Campaign,6120.07,,,,,,,,Tourist,Irish,02-10-2025
Variable Cost,Marketing Campaign,5592.67,,,,,,,,Seldom,Wine,2/26/2025
Employee Salary,Payroll,2803.64,Server,Morning,Part-time,,,,,Tourist,Continental,11/23/2024
Marketing Spend,Advertising,4430.19,,,,Summer Happy Hour,,,,Tourist,Irish,05-10-2024
Employee Salary,Payroll,1588.29,Chef,Morning,Full-time,,,,,Regular,Continental,12-11-2024
Fixed Cost,Utilities,3960.13,,,,,,,,Seldom,Snacks,05-01-2024
Marketing Spend,Advertising,511.86,,,,New Menu Launch,,,,Regular,Wine,7/24/2024
Projected vs Actual,Expense Monitoring,,,,,,,4194.64,3852.14,Seldom,Continental,12/17/2024
Employee Salary,Payroll,3149.05,Bartender,Night,Contract,,,,,Regular,Snacks,06-03-2024
Employee Salary,Payroll,4497.27,Manager,Morning,Contract,,,,,Tourist,Continental,8/23/2024
Employee Salary,Payroll,1769.16,Cleaner,Evening,Full-time,,,,,Tourist,Continental,01-04-2025
Employee Salary,Payroll,2114.36,Cleaner,Morning,Part-time,,,,,Seldom,Snacks,3/31/2024
Tech Fee,Tech Services,89.92,,,,,Website Hosting,,,First-timer,Snacks,10/14/2024
Fixed Cost,Rent,2573.5,,,,,,,,First-timer,Snacks,03-05-2025
Variable Cost,Marketing Campaign,3706.27,,,,,,,,First-timer,Wine,10/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,2975.75,2618.92,First-timer,Wine,12/21/2024
Variable Cost,Inventory Purchase,4863.34,,,,,,,,Seldom,Continental,06-06-2024
Projected vs Actual,Expense Monitoring,,,,,,,1113.19,1860.35,Regular,Irish,09-11-2024
Tech Fee,Tech Services,174.59,,,,,CRM Platform,,,Regular,Continental,10-09-2024
Fixed Cost,Rent,3187.75,,,,,,,,Tourist,Continental,4/16/2024
Marketing Spend,Advertising,3848.82,,,,Christmas Special,,,,Regular,Continental,09-04-2024
Projected vs Actual,Expense Monitoring,,,,,,,2270.87,2790.78,Tourist,Irish,9/13/2024
Projected vs Actual,Expense Monitoring,,,,,,,3969.01,4463.95,First-timer,Wine,10/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,1608.04,874.27,Seldom,Wine,8/30/2024
Employee Salary,Payroll,4468.86,Bartender,Night,Full-time,,,,,Seldom,Irish,8/29/2024
Projected vs Actual,Expense Monitoring,,,,,,,4494.63,3979.57,Tourist,Irish,3/15/2024
Fixed Cost,Insurance,2197.78,,,,,,,,Seldom,Snacks,12/21/2024
Variable Cost,Inventory Purchase,3288.58,,,,,,,,Regular,Snacks,12-06-2024
Projected vs Actual,Expense Monitoring,,,,,,,2956.23,2195.75,Tourist,Snacks,10-08-2024
Fixed Cost,Rent,3171.17,,,,,,,,First-timer,Continental,5/14/2024
Marketing Spend,Advertising,5566.36,,,,Summer Happy Hour,,,,Seldom,Wine,5/25/2024
Tech Fee,Tech Services,89.11,,,,,Website Hosting,,,Tourist,Wine,12/17/2024
Projected vs Actual,Expense Monitoring,,,,,,,4901.31,5392.1900000000005,First-timer,Irish,8/31/2024
Fixed Cost,Insurance,2204.48,,,,,,,,Regular,Irish,12-03-2024
Tech Fee,Tech Services,454.84,,,,,Website Hosting,,,Regular,Irish,02-02-2025
Variable Cost,Inventory Purchase,3625.36,,,,,,,,Tourist,Irish,1/15/2025
Tech Fee,Tech Services,322.6,,,,,Website Hosting,,,First-timer,Irish,01-03-2025
Fixed Cost,Rent,958.02,,,,,,,,First-timer,Wine,09-08-2024
Projected vs Actual,Expense Monitoring,,,,,,,3240.18,3215.8,Tourist,Snacks,9/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,1899.25,1469.44,Tourist,Continental,06-05-2024
Fixed Cost,Insurance,732.36,,,,,,,,Seldom,Snacks,8/15/2024
Tech Fee,Tech Services,498.76,,,,,Website Hosting,,,First-timer,Continental,3/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,3483.92,4422.860000000001,Tourist,Irish,12/13/2024
Marketing Spend,Advertising,5756.09,,,,Christmas Special,,,,First-timer,Snacks,04-01-2024
Fixed Cost,Utilities,1268.99,,,,,,,,Seldom,Continental,12-05-2024
Employee Salary,Payroll,3140.15,Chef,Evening,Contract,,,,,Seldom,Irish,7/16/2024
Variable Cost,Inventory Purchase,8401.97,,,,,,,,Tourist,Continental,04-12-2024
Tech Fee,Tech Services,485.6,,,,,Website Hosting,,,Tourist,Irish,08-03-2024
Marketing Spend,Advertising,1556.65,,,,Christmas Special,,,,Tourist,Irish,09-10-2024
Marketing Spend,Advertising,3802.91,,,,Spring Promo,,,,Regular,Continental,8/22/2024
Fixed Cost,Utilities,3955.01,,,,,,,,First-timer,Snacks,2/17/2025
Projected vs Actual,Expense Monitoring,,,,,,,4859.29,4168.02,First-timer,Continental,9/22/2024
Marketing Spend,Advertising,3821.61,,,,Spring Promo,,,,Regular,Snacks,08-11-2024
Fixed Cost,Utilities,2014.72,,,,,,,,Regular,Continental,03-02-2025
Variable Cost,Inventory Purchase,727.41,,,,,,,,Regular,Snacks,09-11-2024
Marketing Spend,Advertising,2392.01,,,,Summer Happy Hour,,,,Tourist,Irish,6/25/2024
Variable Cost,Marketing Campaign,2620.94,,,,,,,,Regular,Snacks,6/16/2024
Tech Fee,Tech Services,392.1,,,,,CRM Platform,,,First-timer,Snacks,2/23/2025
Employee Salary,Payroll,4718.12,Bartender,Evening,Contract,,,,,Seldom,Wine,11/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,6094.81,5911.85,First-timer,Continental,2/25/2025
Tech Fee,Tech Services,495.92,,,,,Website Hosting,,,Tourist,Snacks,10-08-2024
Variable Cost,Marketing Campaign,3854.36,,,,,,,,Regular,Snacks,4/14/2024
Fixed Cost,Utilities,716.43,,,,,,,,Regular,Snacks,6/16/2024
Tech Fee,Tech Services,422.57,,,,,Website Hosting,,,Seldom,Wine,12/29/2024
Tech Fee,Tech Services,409.79,,,,,Website Hosting,,,Regular,Wine,03-01-2025
Employee Salary,Payroll,1942.77,Cleaner,Morning,Full-time,,,,,First-timer,Continental,4/27/2024
Projected vs Actual,Expense Monitoring,,,,,,,4422.99,4140.65,First-timer,Wine,8/28/2024
Tech Fee,Tech Services,226.6,,,,,Website Hosting,,,Seldom,Continental,12/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,7247.51,7495.71,First-timer,Irish,4/29/2024
Fixed Cost,Insurance,2474.35,,,,,,,,Regular,Irish,10-06-2024
Fixed Cost,Rent,2099.13,,,,,,,,Tourist,Continental,7/20/2024
Variable Cost,Marketing Campaign,759.53,,,,,,,,Tourist,Wine,05-08-2024
Employee Salary,Payroll,2331.26,Bartender,Evening,Part-time,,,,,Tourist,Continental,2/20/2025
Employee Salary,Payroll,3480.29,Server,Night,Contract,,,,,Regular,Continental,2/17/2025
Marketing Spend,Advertising,6278.47,,,,Summer Happy Hour,,,,First-timer,Irish,4/20/2024
Marketing Spend,Advertising,1231.39,,,,Spring Promo,,,,Regular,Snacks,12/31/2024
Fixed Cost,Rent,1618.2,,,,,,,,Regular,Irish,10-07-2024
Fixed Cost,Utilities,1420.45,,,,,,,,First-timer,Irish,07-10-2024
Variable Cost,Marketing Campaign,4990.42,,,,,,,,Tourist,Snacks,1/17/2025
Variable Cost,Inventory Purchase,1118.87,,,,,,,,Seldom,Continental,11-07-2024
Tech Fee,Tech Services,220.47,,,,,CRM Platform,,,Tourist,Irish,03-05-2025
Tech Fee,Tech Services,321.78,,,,,Website Hosting,,,Regular,Irish,2/28/2025
Tech Fee,Tech Services,117.46,,,,,Website Hosting,,,Regular,Irish,7/20/2024
Marketing Spend,Advertising,5448.8,,,,New Menu Launch,,,,Tourist,Wine,1/21/2025
Employee Salary,Payroll,2007.2,Bartender,Night,Part-time,,,,,Tourist,Wine,1/26/2025
Tech Fee,Tech Services,131.72,,,,,Website Hosting,,,First-timer,Continental,1/17/2025
