InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Sauvignon Blanc,Beverages,484,12,5,0.06,Connemara Supplies,Mayo,Yes,8.25,1,3,7,45,21
Onion Rings,Food ,182,8,21,0.01,Green Isle Distributors,Dublin,No,13.09,2,14,1,240,0
Garlic Parmesan Fries,Food ,424,7,17,0.05,Claddagh Provisions,Galway,Yes,1.71,2,7,4,244,14
Spicy Wedges,Food ,235,20,29,0.07,Claddagh Provisions,Galway,Yes,15.46,5,7,5,180,15
Sweet Potato Fries,Food ,303,13,28,0.07,Shannon Valley Produce,Limerick,No,19.74,6,30,8,247,10
Baileys Cheesecake,Dessert ,154,18,29,0.01,Claddagh Provisions,Galway,Yes,1.42,5,30,2,248,1
Sweet Potato Fries,Food ,85,20,24,0.04,Claddagh Provisions,Galway,Yes,2.94,6,30,5,238,2
Whiskey,Beverages,445,9,16,0.08,Green Isle Distributors,Dublin,No,16.41,1,30,6,35,21
Spicy Wedges,Food ,227,23,25,0.12,Shannon Valley Produce,Limerick,No,11.52,5,7,6,58,18
Craft Beer,Beverages,287,8,25,0.04,Green Isle Distributors,Dublin,No,16.01,6,14,7,263,1
Onion Rings,Food ,127,7,8,0.09,Claddagh Provisions,Galway,Yes,7.63,4,30,4,162,6
Sauvignon Blanc,Beverages,16,16,8,0.07,Emerald Foods Ltd,Cork,Yes,11.49,4,3,8,12,0
Rioja,Beverages,459,15,26,0.14,Claddagh Provisions,Galway,Yes,2.59,3,30,7,298,5
Sticky Toffee Pudding,Dessert ,415,24,23,0.12,Green Isle Distributors,Dublin,No,3.65,4,30,5,30,28
Craft Beer,Beverages,368,16,20,0.12,Emerald Foods Ltd,Cork,Yes,16.43,2,7,6,243,2
Whiskey,Beverages,386,23,18,0.12,Green Isle Distributors,Dublin,No,5.99,4,30,5,232,16
Rioja,Beverages,429,13,8,0.12,Green Isle Distributors,Dublin,No,2.23,2,30,5,87,19
Smithwick's,Beverages,397,4,25,0.07,Shannon Valley Produce,Limerick,No,11.74,2,14,1,47,6
Irish Coffee,Beverages,411,11,17,0.06,Emerald Foods Ltd,Cork,Yes,5.99,2,3,6,217,17
Irish Stew,Food ,87,24,18,0.04,Emerald Foods Ltd,Cork,Yes,1.03,5,30,9,38,3
Pepperoni Pizza,Food ,144,13,15,0.08,Shannon Valley Produce,Limerick,No,17.98,3,30,1,214,10
Pinot Noir,Beverages,265,19,10,0.02,Emerald Foods Ltd,Cork,Yes,14.49,3,7,7,58,3
Craft Beer,Beverages,106,10,28,0.1,Connemara Supplies,Mayo,Yes,2.4,6,14,4,29,5
Pinot Noir,Beverages,476,15,21,0.1,Emerald Foods Ltd,Cork,Yes,13.65,1,14,4,171,20
BBQ Chicken Pizza,Food ,377,10,3,0.01,Claddagh Provisions,Galway,Yes,10.52,2,3,3,66,1
Spicy Wedges,Food ,251,11,18,0.07,Emerald Foods Ltd,Cork,Yes,7.77,3,3,4,278,17
Truffle Fries,Food ,329,24,4,0.06,Emerald Foods Ltd,Cork,Yes,13.92,1,30,9,197,5
Whiskey,Beverages,200,16,18,0.06,Connemara Supplies,Mayo,Yes,5.77,5,30,4,243,8
Irish Nachos,Food ,193,15,19,0.1,Claddagh Provisions,Galway,Yes,5.68,5,7,1,25,12
Shepherd's Pie,Food ,158,20,3,0.13,Green Isle Distributors,Dublin,No,15.36,6,7,2,245,12
Shepherd's Pie,Food ,376,8,20,0.04,Green Isle Distributors,Dublin,No,13.15,6,7,5,97,12
Kilkenny,Beverages,148,20,13,0.13,Connemara Supplies,Mayo,Yes,6.38,6,30,8,40,9
Truffle Fries,Food ,250,6,9,0.09,Green Isle Distributors,Dublin,No,7.49,2,14,2,42,16
Irish Nachos,Food ,466,8,27,0.04,Green Isle Distributors,Dublin,No,18.47,4,30,8,113,0
Irish Nachos,Food ,274,14,29,0.05,Claddagh Provisions,Galway,Yes,18.31,1,3,9,224,12
Truffle Fries,Food ,293,14,6,0.01,Connemara Supplies,Mayo,Yes,17.76,5,3,2,171,1
Bread Pudding,Dessert ,188,20,16,0.14,Claddagh Provisions,Galway,Yes,7.14,5,14,9,135,26
Bread Pudding,Dessert ,337,6,7,0.13,Connemara Supplies,Mayo,Yes,4.37,1,7,1,186,36
Garlic Parmesan Fries,Food ,301,10,25,0.02,Claddagh Provisions,Galway,Yes,13.45,4,3,4,254,4
Pinot Noir,Beverages,362,5,7,0.09,Emerald Foods Ltd,Cork,Yes,9.36,4,14,1,196,27
Spicy Wedges,Food ,455,5,3,0.12,Emerald Foods Ltd,Cork,Yes,18.39,2,3,2,162,25
Irish Coffee,Beverages,283,15,5,0.1,Shannon Valley Produce,Limerick,No,5.93,6,30,8,202,21
Sticky Toffee Pudding,Dessert ,482,24,19,0.13,Emerald Foods Ltd,Cork,Yes,6.57,4,3,2,39,16
Kilkenny,Beverages,212,18,18,0.01,Emerald Foods Ltd,Cork,Yes,17.62,3,3,6,252,1
Sauvignon Blanc,Beverages,56,15,13,0.09,Shannon Valley Produce,Limerick,No,18.79,4,30,9,152,1
Whiskey,Beverages,79,22,3,0.05,Shannon Valley Produce,Limerick,No,17.22,4,3,5,49,2
Sticky Toffee Pudding,Dessert ,255,6,5,0.03,Connemara Supplies,Mayo,Yes,9.37,4,30,5,186,2
Onion Rings,Food ,307,9,11,0.07,Emerald Foods Ltd,Cork,Yes,3.09,6,14,4,63,19
Margherita Pizza,Food ,341,16,14,0.08,Shannon Valley Produce,Limerick,No,8.2,3,14,7,117,8
Rioja,Beverages,217,13,18,0.09,Connemara Supplies,Mayo,Yes,19.88,5,7,4,142,16
Garlic Parmesan Fries,Food ,445,16,18,0.09,Emerald Foods Ltd,Cork,Yes,13.97,3,7,6,268,28
Sticky Toffee Pudding,Dessert ,491,11,18,0.09,Claddagh Provisions,Galway,Yes,4.34,2,7,2,218,41
Boxty,Food ,44,17,27,0.1,Emerald Foods Ltd,Cork,Yes,7.99,1,14,2,147,0
Boxty,Food ,19,24,18,0.11,Connemara Supplies,Mayo,Yes,3.49,5,7,3,17,0
Garlic Parmesan Fries,Food ,319,15,3,0.15,Shannon Valley Produce,Limerick,No,12.39,5,3,3,48,11
Shepherd's Pie,Food ,295,10,9,0.1,Connemara Supplies,Mayo,Yes,1.27,3,3,8,159,1
Guinness,Beverages,378,21,20,0.02,Shannon Valley Produce,Limerick,No,7.9,1,3,1,95,3
Boxty,Food ,122,21,9,0.1,Shannon Valley Produce,Limerick,No,1.9,5,14,7,19,2
Craft Beer,Beverages,365,7,3,0.11,Shannon Valley Produce,Limerick,No,18.52,3,14,3,119,21
Heineken,Beverages,430,2,14,0.14,Claddagh Provisions,Galway,Yes,5.79,4,7,6,109,40
Sauvignon Blanc,Beverages,156,20,21,0.07,Green Isle Distributors,Dublin,No,13.9,1,30,6,293,0
Rioja,Beverages,389,6,6,0.03,Green Isle Distributors,Dublin,No,4.17,2,30,1,275,10
Heineken,Beverages,414,15,7,0.04,Green Isle Distributors,Dublin,No,13.86,5,14,3,275,13
Smithwick's,Beverages,66,14,28,0.09,Claddagh Provisions,Galway,Yes,1.5,6,30,8,253,5
Craft Beer,Beverages,392,12,25,0.02,Connemara Supplies,Mayo,Yes,1.46,4,14,7,49,1
Sticky Toffee Pudding,Dessert ,335,20,22,0.04,Shannon Valley Produce,Limerick,No,11.68,2,7,9,211,11
Baileys Cheesecake,Dessert ,175,5,6,0.07,Shannon Valley Produce,Limerick,No,8.44,4,7,5,37,5
Bread Pudding,Dessert ,272,6,5,0.05,Connemara Supplies,Mayo,Yes,11.33,3,3,3,260,7
Heineken,Beverages,333,4,9,0.12,Connemara Supplies,Mayo,Yes,3.57,3,14,1,238,8
Sticky Toffee Pudding,Dessert ,40,3,11,0.15,Green Isle Distributors,Dublin,No,15.75,5,30,3,184,1
Baileys Cheesecake,Dessert ,283,11,9,0.09,Green Isle Distributors,Dublin,No,1.69,3,30,2,144,21
Guinness,Beverages,473,6,14,0.04,Shannon Valley Produce,Limerick,No,6.43,4,3,1,296,4
Sauvignon Blanc,Beverages,340,18,18,0.02,Shannon Valley Produce,Limerick,No,16.82,3,14,2,210,2
Sweet Potato Fries,Food ,182,1,13,0.08,Emerald Foods Ltd,Cork,Yes,11.17,2,14,4,270,1
Whiskey,Beverages,343,22,7,0.09,Green Isle Distributors,Dublin,No,15.51,3,3,6,162,22
Margherita Pizza,Food ,55,22,14,0.01,Claddagh Provisions,Galway,Yes,2.34,4,30,7,90,0
Potato Skins,Food ,54,6,10,0.14,Emerald Foods Ltd,Cork,Yes,14.61,4,30,6,286,0
Craft Beer,Beverages,28,2,4,0.11,Shannon Valley Produce,Limerick,No,19.94,6,3,7,280,2
Corned Beef,Food ,215,8,24,0.11,Claddagh Provisions,Galway,Yes,14.58,3,14,5,121,17
Margherita Pizza,Food ,242,23,17,0.13,Connemara Supplies,Mayo,Yes,12.39,3,7,2,296,29
Whiskey,Beverages,453,18,7,0.12,Claddagh Provisions,Galway,Yes,4.52,3,30,9,187,41
Whiskey,Beverages,136,7,14,0.08,Shannon Valley Produce,Limerick,No,14.13,2,30,5,280,5
Rioja,Beverages,380,10,26,0.11,Shannon Valley Produce,Limerick,No,9.9,5,14,5,282,35
Pinot Noir,Beverages,75,21,21,0.07,Claddagh Provisions,Galway,Yes,10.5,4,30,5,148,3
Irish Nachos,Food ,255,14,11,0.03,Green Isle Distributors,Dublin,No,7.66,2,30,3,75,1
Sticky Toffee Pudding,Dessert ,67,9,16,0.14,Emerald Foods Ltd,Cork,Yes,14.59,4,14,1,70,2
Potato Skins,Food ,391,23,27,0.11,Emerald Foods Ltd,Cork,Yes,2.42,3,14,9,114,38
Sweet Potato Fries,Food ,437,9,13,0.14,Connemara Supplies,Mayo,Yes,7.18,2,14,7,25,32
Shepherd's Pie,Food ,469,1,9,0.02,Connemara Supplies,Mayo,Yes,4.37,1,30,7,233,3
Bread Pudding,Dessert ,225,24,16,0.14,Shannon Valley Produce,Limerick,No,7.82,6,7,6,280,28
Garlic Parmesan Fries,Food ,426,1,9,0.04,Green Isle Distributors,Dublin,No,16.38,4,30,4,150,14
Irish Coffee,Beverages,108,22,11,0.02,Claddagh Provisions,Galway,Yes,15.25,4,3,7,241,2
Sauvignon Blanc,Beverages,398,20,19,0.14,Connemara Supplies,Mayo,Yes,8.48,6,30,5,191,50
Guinness,Beverages,299,19,5,0.12,Claddagh Provisions,Galway,Yes,9.63,2,14,1,122,2
Craft Beer,Beverages,42,24,5,0.13,Emerald Foods Ltd,Cork,Yes,11.97,1,7,8,220,4
Craft Beer,Beverages,191,20,16,0.12,Claddagh Provisions,Galway,Yes,11.37,1,3,8,114,5
Truffle Fries,Food ,61,22,15,0.04,Connemara Supplies,Mayo,Yes,5.89,3,3,9,125,2
Onion Rings,Food ,269,8,17,0.05,Shannon Valley Produce,Limerick,No,8.06,4,14,5,100,3
Irish Coffee,Beverages,295,8,20,0.11,Emerald Foods Ltd,Cork,Yes,14.29,3,30,9,286,27
Boxty,Food ,130,6,16,0.07,Connemara Supplies,Mayo,Yes,5.28,3,14,5,28,8
Chardonnay,Beverages,158,23,8,0.13,Connemara Supplies,Mayo,Yes,1.02,6,7,2,58,12
Potato Skins,Food ,346,1,29,0.02,Claddagh Provisions,Galway,Yes,18.29,3,7,1,107,2
Rioja,Beverages,472,12,13,0.11,Shannon Valley Produce,Limerick,No,17.37,5,7,5,124,10
Sticky Toffee Pudding,Dessert ,248,6,11,0.05,Emerald Foods Ltd,Cork,Yes,9.59,4,30,2,25,4
Kilkenny,Beverages,25,1,11,0.14,Emerald Foods Ltd,Cork,Yes,2.06,2,14,8,122,0
Pepperoni Pizza,Food ,215,14,28,0.11,Emerald Foods Ltd,Cork,Yes,17.55,6,14,7,226,1
Truffle Fries,Food ,83,8,16,0.04,Green Isle Distributors,Dublin,No,19.13,6,3,3,70,3
Smithwick's,Beverages,484,9,19,0.11,Green Isle Distributors,Dublin,No,6.37,5,3,1,274,34
Irish Nachos,Food ,58,19,21,0.07,Claddagh Provisions,Galway,Yes,13.73,3,14,1,124,2
Boxty,Food ,27,21,27,0.03,Shannon Valley Produce,Limerick,No,12.55,6,14,1,266,0
Potato Skins,Food ,450,19,26,0.08,Connemara Supplies,Mayo,Yes,17.79,5,3,7,181,20
Garlic Parmesan Fries,Food ,309,24,13,0.06,Green Isle Distributors,Dublin,No,11.52,4,14,8,155,2
Craft Beer,Beverages,213,4,23,0.1,Shannon Valley Produce,Limerick,No,6.62,1,30,1,160,8
Guinness,Beverages,192,23,12,0.09,Connemara Supplies,Mayo,Yes,1.51,2,30,1,164,15
Heineken,Beverages,347,17,25,0.1,Shannon Valley Produce,Limerick,No,6.03,1,7,7,76,34
Sweet Potato Fries,Food ,207,16,3,0.06,Green Isle Distributors,Dublin,No,6.86,5,14,6,189,6
Corned Beef,Food ,380,15,23,0.09,Emerald Foods Ltd,Cork,Yes,14.32,5,30,9,189,31
Baileys Cheesecake,Dessert ,241,23,27,0.14,Emerald Foods Ltd,Cork,Yes,12.48,1,14,5,291,0
Sweet Potato Fries,Food ,84,4,25,0.02,Emerald Foods Ltd,Cork,Yes,17.02,5,7,1,293,1
Chardonnay,Beverages,85,10,3,0.15,Emerald Foods Ltd,Cork,Yes,16.09,6,3,6,287,7
Rioja,Beverages,72,18,23,0.11,Shannon Valley Produce,Limerick,No,19.33,1,7,7,65,5
Kilkenny,Beverages,468,7,13,0.03,Shannon Valley Produce,Limerick,No,10.81,2,14,7,242,0
Corned Beef,Food ,320,18,25,0.07,Shannon Valley Produce,Limerick,No,10.43,5,7,8,252,6
Spicy Wedges,Food ,181,22,8,0.12,Shannon Valley Produce,Limerick,No,18.06,1,3,3,200,9
Corned Beef,Food ,322,3,27,0.08,Connemara Supplies,Mayo,Yes,3.06,1,3,7,33,2
Irish Nachos,Food ,14,1,5,0.14,Emerald Foods Ltd,Cork,Yes,6.97,4,30,1,216,0
Baileys Cheesecake,Dessert ,348,7,11,0.04,Shannon Valley Produce,Limerick,No,1.21,3,3,1,270,5
Irish Nachos,Food ,474,13,13,0.05,Green Isle Distributors,Dublin,No,2.76,5,30,8,226,9
Sauvignon Blanc,Beverages,452,23,8,0.06,Claddagh Provisions,Galway,Yes,13.72,6,7,8,198,12
Guinness,Beverages,273,8,13,0.14,Claddagh Provisions,Galway,Yes,6.85,2,3,9,252,16
BBQ Chicken Pizza,Food ,331,4,4,0.06,Green Isle Distributors,Dublin,No,3.6,3,14,5,106,11
Corned Beef,Food ,81,7,25,0.06,Connemara Supplies,Mayo,Yes,12.14,6,14,8,142,4
Sticky Toffee Pudding,Dessert ,331,14,25,0.1,Shannon Valley Produce,Limerick,No,7.78,4,30,5,270,4
Garlic Parmesan Fries,Food ,299,14,25,0.1,Shannon Valley Produce,Limerick,No,13.58,1,3,8,249,19
Sweet Potato Fries,Food ,106,21,15,0.12,Claddagh Provisions,Galway,Yes,8.01,1,14,8,48,2
BBQ Chicken Pizza,Food ,251,22,10,0.09,Emerald Foods Ltd,Cork,Yes,18.22,1,7,5,85,21
Whiskey,Beverages,431,19,19,0.13,Shannon Valley Produce,Limerick,No,4.96,5,30,8,220,23
Boxty,Food ,239,19,11,0.08,Green Isle Distributors,Dublin,No,16.11,3,7,6,182,16
Smithwick's,Beverages,449,8,19,0.1,Shannon Valley Produce,Limerick,No,13.43,3,7,3,130,39
Baileys Cheesecake,Dessert ,132,4,16,0.03,Emerald Foods Ltd,Cork,Yes,6.05,3,3,5,244,0
BBQ Chicken Pizza,Food ,99,11,29,0.12,Emerald Foods Ltd,Cork,Yes,8.19,5,7,3,31,5
Potato Skins,Food ,342,8,13,0.05,Shannon Valley Produce,Limerick,No,19.06,3,3,6,163,9
Boxty,Food ,494,17,29,0.07,Claddagh Provisions,Galway,Yes,15.06,6,30,7,183,10
Boxty,Food ,404,18,27,0.06,Connemara Supplies,Mayo,Yes,3.98,3,14,4,180,16
Sweet Potato Fries,Food ,29,22,11,0.13,Claddagh Provisions,Galway,Yes,5.59,3,3,9,68,0
Truffle Fries,Food ,400,2,9,0.03,Shannon Valley Produce,Limerick,No,11.44,6,30,8,115,8
Irish Coffee,Beverages,149,14,14,0.08,Connemara Supplies,Mayo,Yes,18.63,4,30,7,36,7
Onion Rings,Food ,18,15,26,0.15,Emerald Foods Ltd,Cork,Yes,10.43,5,14,3,67,2
Irish Coffee,Beverages,203,9,4,0.02,Connemara Supplies,Mayo,Yes,1.44,2,30,2,268,3
BBQ Chicken Pizza,Food ,336,8,15,0.06,Green Isle Distributors,Dublin,No,13.85,6,3,4,169,20
Baileys Cheesecake,Dessert ,343,20,26,0.09,Shannon Valley Produce,Limerick,No,16.48,5,3,4,104,6
Garlic Parmesan Fries,Food ,324,24,16,0.09,Shannon Valley Produce,Limerick,No,13.94,2,14,2,153,27
Sauvignon Blanc,Beverages,142,12,12,0.13,Green Isle Distributors,Dublin,No,6.34,4,7,6,234,11
Heineken,Beverages,157,18,21,0.03,Emerald Foods Ltd,Cork,Yes,13.71,1,30,1,151,3
Sticky Toffee Pudding,Dessert ,297,22,22,0.11,Claddagh Provisions,Galway,Yes,8.81,1,14,7,71,5
Spicy Wedges,Food ,51,20,24,0.01,Shannon Valley Produce,Limerick,No,2.93,4,30,6,102,0
Craft Beer,Beverages,215,15,6,0.07,Emerald Foods Ltd,Cork,Yes,7.94,5,14,5,283,13
Corned Beef,Food ,366,20,3,0.09,Claddagh Provisions,Galway,Yes,3.34,3,3,4,271,22
BBQ Chicken Pizza,Food ,273,9,16,0.06,Claddagh Provisions,Galway,Yes,8.82,3,3,1,76,8
Corned Beef,Food ,485,17,11,0.05,Emerald Foods Ltd,Cork,Yes,8.4,3,7,4,257,19
Pinot Noir,Beverages,134,7,22,0.13,Claddagh Provisions,Galway,Yes,8.54,6,3,4,211,15
Potato Skins,Food ,120,14,21,0.04,Connemara Supplies,Mayo,Yes,17.32,6,7,8,104,2
Sticky Toffee Pudding,Dessert ,247,8,26,0.12,Emerald Foods Ltd,Cork,Yes,6.75,4,14,4,221,18
Guinness,Beverages,419,9,5,0.08,Connemara Supplies,Mayo,Yes,1.95,2,3,4,69,32
Irish Nachos,Food ,367,21,9,0.05,Green Isle Distributors,Dublin,No,18.66,3,30,2,275,0
Craft Beer,Beverages,495,22,9,0.03,Green Isle Distributors,Dublin,No,14.69,1,14,9,215,13
